Date/Time,Word Count,de,en,es,fr,it,ja,ko,pl,pt,ru,th,tr,uk,zh,zh-Hans-CN-CNVER,zh-Hant
2022.07.12-15.29.47,1128,0,0,0,0,0,0,0,0,0,0,0,0,0,1128,0,0
2022.09.26-09.46.09,21194,0,0,0,0,0,0,0,0,0,0,0,0,0,21194,0,0
2022.09.27-15.29.21,21304,0,0,0,0,0,0,0,0,0,0,0,0,0,21304,0,0
2022.10.26-14.03.38,23806,0,0,0,0,0,0,0,0,0,0,0,0,0,23806,0,0
2023.01.12-15.08.35,46037,0,0,0,0,0,0,0,0,0,0,0,0,0,46037,0,0
2023.01.30-13.39.01,46402,0,0,0,0,0,0,0,0,0,0,0,0,0,46402,0,0
2023.01.30-17.17.12,46500,0,0,0,0,0,0,0,0,0,0,0,0,0,46500,0,0
2023.02.28-12.31.45,51252,0,0,0,0,0,0,0,0,0,0,0,0,0,51252,0,0
2023.02.28-17.55.13,51252,0,50953,0,0,0,0,0,0,0,0,0,0,0,51252,0,0
2023.02.28-19.53.30,53027,0,49671,0,0,0,0,0,0,0,0,0,0,0,53027,0,0
2023.02.28-20.07.33,53027,0,52728,0,0,0,0,0,0,0,0,0,0,0,53027,0,0
2023.03.03-18.12.42,53898,0,50016,0,0,0,0,0,0,0,0,0,0,0,53898,0,0
2023.03.03-18.14.38,53898,0,53599,0,0,0,0,0,0,0,0,0,0,0,53898,0,0
2023.03.07-19.24.55,54051,0,52687,0,0,0,0,0,0,0,0,0,0,0,54051,0,0
2023.03.07-19.26.45,54051,0,53752,0,0,0,0,0,0,0,0,0,0,0,54051,0,0
2023.03.09-11.13.17,54768,0,53230,0,0,0,0,0,0,0,0,0,0,0,54768,0,0
2023.03.09-11.18.31,54768,0,54469,0,0,0,0,0,0,0,0,0,0,0,54768,0,0
2023.03.10-17.34.45,55644,0,53602,0,0,0,0,0,0,0,0,0,0,0,55644,0,0
2023.03.10-17.37.30,55644,0,55345,0,0,0,0,0,0,0,0,0,0,0,55644,0,0
2023.03.13-17.50.46,55870,0,55148,0,0,0,0,0,0,0,0,0,0,0,55870,0,0
2023.03.13-17.57.19,55870,0,55272,0,0,0,0,0,0,0,0,0,0,0,55870,0,0
2023.03.14-13.23.43,55927,0,55236,0,0,0,0,0,0,0,0,0,0,0,55927,0,0
2023.03.16-13.36.50,56792,0,54925,0,0,0,0,0,0,0,0,0,0,0,56792,0,0
2023.03.16-13.42.18,56792,0,56190,0,0,0,0,0,0,0,0,0,0,0,56792,0,0
2023.03.17-15.23.02,56967,0,55870,0,0,0,0,0,0,0,0,0,0,0,56967,0,0
2023.03.18-14.10.45,57062,0,56324,0,0,0,0,0,0,0,0,0,0,0,57062,0,0
2023.03.20-15.56.45,57155,0,56233,0,0,0,0,0,0,0,0,0,0,0,57155,0,0
2023.03.21-11.01.03,57355,0,56535,0,0,0,0,0,0,0,0,0,0,0,57355,0,0
2023.03.22-13.19.57,57478,0,56739,0,0,0,0,0,0,0,0,0,0,0,57478,0,0
2023.03.23-12.58.54,57841,0,56491,0,0,0,0,0,0,0,0,0,0,0,57841,0,0
2023.03.27-10.59.51,58569,0,56876,0,0,0,0,0,0,0,0,0,0,0,58569,0,0
2023.03.27-11.12.39,58569,0,0,0,0,0,0,0,0,0,0,0,0,0,58569,0,0
2023.03.30-16.37.37,74072,0,0,0,0,0,0,0,0,0,0,0,0,0,74072,0,0
2023.03.30-16.39.51,74080,0,0,0,0,0,0,0,0,0,0,0,0,0,74080,0,0
2023.04.04-14.50.54,74250,0,71177,0,0,0,0,0,0,0,0,0,0,0,74250,0,0
2023.04.10-11.12.19,74601,0,71125,0,0,0,0,0,0,0,0,0,0,0,74601,0,0
2023.04.13-19.29.43,105579,0,70811,0,0,0,0,0,0,0,0,0,0,0,105579,0,0
2023.04.14-10.40.14,105614,0,102758,0,0,0,0,0,0,0,0,0,0,0,105614,0,0
2023.04.15-14.51.42,105911,0,102781,0,0,0,0,0,0,0,0,0,0,0,105911,0,0
2023.04.17-10.55.22,106055,0,103096,0,0,0,0,0,0,0,0,0,0,0,106055,0,0
2023.04.19-15.48.42,106796,0,100829,0,0,0,0,0,0,0,0,0,0,0,106796,0,0
2023.04.24-14.59.04,107281,0,103862,0,0,0,0,0,0,0,0,0,0,0,107281,0,0
2023.04.26-11.16.55,107094,0,104144,0,0,0,0,0,0,0,0,0,0,0,107094,0,0
